;Fecha;Provincia;Viajeros;Comunidad;Viajeros_normalizado
589;2005-11-01;Islas Baleares;5652.0;Islas Baleares;0.017250272396817305
591;2005-11-01;Jaen;2304.0;Andalucia;0.2200362907076688
593;2005-11-01;La Rioja;468.0;La Rioja;0.030360038923126824
595;2005-11-01;Las Palmas;254527.0;Canarias;0.7769895079384946
597;2005-11-01;Lleida;354.0;Cataluna;0.044646235338630345
599;2005-11-01;Lugo;840.0;Galicia;0.05263817520992606
601;2005-11-01;Madrid;21367.0;Comunidad de Madrid;0.28396193817611565
603;2005-11-01;Malaga;22811.0;Andalucia;0.1279324752530776
605;2005-11-01;Murcia;1570.0;Region de Murcia;0.047865853658536586
607;2005-11-01;Navarra;2216.0;Navarra;0.08298693030745609
609;2005-11-01;Santa Cruz de Tenerife;126305.0;Canarias;0.8686965253514539
611;2005-11-01;Sevilla;3006.0;Andalucia;0.04957696303992875
613;2005-11-01;Tarragona;528.0;Cataluna;0.006423279522146933
615;2005-11-01;Valencia;2744.0;Valencia;0.03746279660322748
617;2005-12-01;A Coruna;479.0;Galicia;0.02729189219987465
619;2005-12-01;Alicante;28567.0;Valencia;0.11819001754211764
621;2005-12-01;Almeria;3944.0;Andalucia;0.07328947857434868
623;2005-12-01;Asturias;2212.0;Principado de Asturias;0.08440492998053956
625;2005-12-01;Barcelona;6346.0;Cataluna;0.1554515836660706
627;2005-12-01;Cadiz;1576.0;Andalucia;0.026029365616793566
629;2005-12-01;Cantabria;1325.0;Cantabria;0.04366308574441442
631;2005-12-01;Castellon;7115.0;Valencia;0.07713489662948146
633;2005-12-01;Cordoba;1032.0;Andalucia;0.09632256860182938
635;2005-12-01;Girona;4463.0;Cataluna;0.030769336835646376
637;2005-12-01;Granada;10883.0;Andalucia;0.24507949376210422
639;2005-12-01;Guipuzcoa;88.0;Pais Vasco;0.006328658755843222
641;2005-12-01;Huelva;1113.0;Andalucia;0.03557274354385068
643;2005-12-01;Huesca;3334.0;Aragon;0.2094484231687398
645;2005-12-01;Islas Baleares;3371.0;Islas Baleares;0.010288511721456324
647;2005-12-01;Jaen;3760.0;Andalucia;0.3590870021965428
649;2005-12-01;La Rioja;534.0;La Rioja;0.0346415828738242
651;2005-12-01;Las Palmas;254479.0;Canarias;0.7768429792936709
653;2005-12-01;Lleida;3845.0;Cataluna;0.4849287425904906
655;2005-12-01;Lugo;693.0;Galicia;0.043426494548189
657;2005-12-01;Madrid;20461.0;Comunidad de Madrid;0.2719214310395237
659;2005-12-01;Malaga;19439.0;Andalucia;0.10902105942065562
661;2005-12-01;Murcia;2010.0;Region de Murcia;0.06128048780487805
663;2005-12-01;Navarra;1670.0;Navarra;0.06253978953675617
665;2005-12-01;Santa Cruz de Tenerife;118146.0;Canarias;0.8125808137775454
667;2005-12-01;Sevilla;3853.0;Andalucia;0.06354625369023469
669;2005-12-01;Tarragona;882.0;Cataluna;0.010729796474495444
671;2005-12-01;Valencia;2545.0;Valencia;0.03474592469213336
673;2006-01-01;A Coruna;398.0;Galicia;0.022676770554384367
675;2006-01-01;Alicante;19004.0;Valencia;0.07862509515771357
677;2006-01-01;Almeria;2405.0;Andalucia;0.04469097260935816
679;2006-01-01;Asturias;1105.0;Principado de Asturias;0.04216430724615561
681;2006-01-01;Barcelona;4817.0;Cataluna;0.11799720745658085
683;2006-01-01;Cadiz;779.0;Andalucia;0.01286603795398616
685;2006-01-01;Cantabria;973.0;Cantabria;0.032063533908917155
687;2006-01-01;Castellon;1759.0;Valencia;0.01906961112737286
689;2006-01-01;Cordoba;509.0;Andalucia;0.04750793354489453
691;2006-01-01;Girona;2767.0;Cataluna;0.019076575179079885
